id,properties_name,address,latitude,longitude,no_of_stations,no_of_hawkers,no_of_supermarkets,no_of_schools,no_of_preschools,no_of_parks,no_of_malls,price,size,no_of_bedrooms,no_of_bathrooms,property_type,year_of_built,leasing,plot ratio,rental,subdistrict
156,Brand New Hilltop Semi-detached @ Burghley Drive,Burghley Drive,1.358213683,103.8627834,0,2,0,0,4,5,0,5800000,4800,4,5,Semi-Detached House,2020,999-year Leasehold,0,0, 
157,Auspicious Brand new semi-detached@Alnwick Road,Alnwick Road,1.364692353,103.8682399,0,2,1,0,1,3,1,7750000,7500,7,5,Semi-Detached House,2020,999-year Leasehold,0,0, 
158,Hedges Park Condominium,83 Flora Drive,1.355161208,103.9678446,0,0,0,0,0,1,0,900000,969,2,2,Condominium,2015,99-year Leasehold,1.400026729,2.88,FLORA DRIVE
159,Shelford Suites,16 Shelford Road,1.326601354,103.8126549,0,0,1,0,1,1,0,2667700,1442,3,3,Apartment,2011,Freehold,1.4,0,HILLCREST
160,Adam Park Condominium,27 Adam Road,1.327843271,103.8133143,2,1,3,0,3,0,0,2098000,1259,3,3,Condominium,2004,Freehold,1.4,2.88,HILLCREST
161,Melville Park,12 Simei Street 1,1.348086612,103.958789,0,0,0,0,0,2,0,950000,1313,3,3,Apartment,1996,99-year Leasehold,2,2.4,SIMEI
162,Parc Komo,965 Upper Changi Road North,1.360722133,103.9696183,0,0,0,0,0,4,0,988000,657,2,1,Condominium,0,Freehold,1.523657284,0,FLORA DRIVE
163,Stars of Kovan,986 Upper Serangoon Road,1.361606529,103.8874628,1,1,2,0,5,2,1,1258000,742,2,2,Condominium,0,99-year Leasehold,3.000069327,4.45,LORONG AH SOO
164,Grandeur Park Residences,1 Bedok South Avenue 3,1.325821355,103.9449192,1,1,3,0,5,5,1,1450000,883,3,2,Condominium,0,99-year Leasehold,2.100024596,4.56,BEDOK SOUTH
165,Eng Kong Green,55 Eng Kong Terrace,1.336396851,103.7694825,0,0,1,0,4,5,0,1280000,840,3,2,Condominium,1999,Freehold,0,0,ANAK BUKIT
166,Hillview Park,19A Hillview Avenue,1.364701961,103.7655941,1,0,2,0,3,1,2,1690000,1432,3,3,Condominium,1995,Freehold,1.92,2.22,HILLVIEW
167,La Mariposa,35 Mangis Road,1.312707634,103.9046712,0,1,3,0,5,2,0,2269000,1335,4,4,Apartment,0,Freehold,1.539998374,0,GEYLANG EAST
168,The Crest,101 Prince Charles Crescent,1.29269479,103.8204115,1,0,3,0,4,1,0,2880000,1378,3,2,Condominium,2017,99-year Leasehold,2.100027748,4.31,ALEXANDRA NORTH
169,The Seawind,72 Lorong M Telok Kurau,1.310850917,103.9140567,0,0,1,0,5,3,0,1186407,635,1,1,Condominium,2015,Freehold,1.481299069,3.58,FRANKEL
170,??????Superb View | Gem Of Mt Sinai??????,Mount Sinai,1.316121344,103.781762,0,0,3,0,5,4,0,7000000,6000,4,5,Semi-Detached House,0,999-year Leasehold,0,0, 
171,Brand New 6 Ensuite Lengkok Merah,Lengkok Merah,1.285751537,103.8132084,0,4,4,0,5,0,1,13200000,9160,6,6,Semi-Detached House,0,Freehold,0,0, 
172,Midwood,8 Hillview Rise,1.362862088,103.7634339,1,0,2,0,5,2,2,1017000,635,2,1,Condominium,0,99-year Leasehold,2.800064353,0,HILLVIEW
173,The Ritz-Carlton Residences,65 Cairnhill Road,1.308031263,103.8361831,0,0,2,0,1,1,3,12000000,2831,4,5,Condominium,2013,Freehold,2.8,0,CAIRNHILL
174,"Palm Dr, Singapore",Palm,1.416840108,103.8411126,0,0,5,0,5,0,1,7800000,6000,8,7,Detached House,0,Freehold,0,0, 
175,314A Punggol Way,314A Punggol Way,1.408261878,103.8980179,0,0,2,0,5,0,1,780000,1216,3,2,HDB Flat,2016,99-year Leasehold,0,0, 
176,475A Upper Serangoon Crescent,475A Upper Serangoon Crescent,1.376298403,103.9002208,0,0,1,0,5,0,0,790000,1205,4,2,HDB Flat,2014,99-year Leasehold,0,0, 
177,Thomson Impressions,20 Lorong Puntong,1.36002617,103.8311117,0,0,1,0,5,4,0,800000,463,1,1,Condominium,2019,99-year Leasehold,2.100011426,4,UPPER THOMSON
178,Oxley Edge,308 River Valley Road,1.295631027,103.8416151,1,0,3,0,3,3,1,900000,420,1,1,Apartment,2016,Freehold,2.876504681,0,OXLEY
179,Avenue South Residence,1 Silat Avenue,1.276390119,103.8302713,0,1,3,0,4,0,0,1840000,947,3,2,Condominium,0,99-year Leasehold,3.700003501,0,BEDOK SOUTH
180,Cairnhill Plaza,53 Cairnhill Road,1.306162225,103.8369945,4,0,4,0,2,1,3,5480000,2820,4,4,Apartment,1978,Freehold,2.8,2.13,CAIRNHILL
181,Katong Regency,13 Tanjong Katong Road,1.315031771,103.8947604,2,4,5,0,5,4,5,1100000,560,1,1,Condominium,2015,Freehold,3.607425885,3.61,GEYLANG EAST
182,WATERSCAPE AT CAVENAGH,65 Cavenagh Road,1.303955778,103.840804,1,0,4,0,2,2,5,3500000,1389,4,2,Apartment,2014,Freehold,2.1,3.76,MONK'S HILL
183,72 Bedok South Avenue 3,72 Bedok South Avenue 3,1.320366592,103.9436679,0,1,2,0,5,5,0,568000,1323,3,2,HDB Flat,1977,99-year Leasehold,0,0, 
184,Sengkang Grand Residences,78 Compassvale Bow,1.383451462,103.8919783,1,0,5,0,4,0,1,995000,678,2,1,Condominium,0,99-year Leasehold,2.100019058,0,COMPASSVALE
185,310C Punggol Walk,310C Punggol Walk,1.409710961,103.8998984,0,0,2,0,5,1,1,620000,1205,3,2,HDB Flat,2015,99-year Leasehold,0,0, 
186,676C Punggol Drive,676C Punggol Drive,1.405331433,103.9105868,0,0,5,0,5,1,1,690000,1216,4,2,HDB Flat,2015,99-year Leasehold,0,0, 
187,312C Sumang Link,312C Sumang Link,1.410907282,103.9011861,0,0,3,0,4,1,1,550000,990,3,2,HDB Flat,2014,99-year Leasehold,0,0, 
188,FORETT@BUKIT TIMAH,32 Toh Tuck Road,1.339908539,103.7675232,0,0,1,0,3,3,0,995000,570,2,1,Condominium,0,Freehold,1.54000006,0,ANAK BUKIT
189,Wilshire Residences,30 Farrer Road,1.313061613,103.8046476,1,1,0,0,4,1,0,1500000,646,2,2,Condominium,0,Freehold,1.807848046,0,TYERSALL
190,Parkwood Residences,208 Yio Chu Kang Road,1.366526614,103.8758283,0,0,1,0,5,3,0,1463600,1033,3,2,Condominium,0,99-year Leasehold,1.490695195,0,KOVAN
191,Parkwood Residences,208 Yio Chu Kang Road,1.366526614,103.8758283,0,0,1,0,5,3,0,1299000,861,3,2,Condominium,0,99-year Leasehold,1.490695195,0,KOVAN
192,Signature At Yishun,21 Yishun Street 51,1.416969524,103.844552,0,0,2,0,5,0,1,1088000,1098,3,3,Executive Condominium,2018,99-year Leasehold,2.8,0,LOWER SELETAR
193,Cashew Estate,2 Cashew Terrace,1.370622866,103.7656391,1,0,0,0,5,5,0,5000000,200,5,4,Corner Terrace,2008,999-year Leasehold,0,0, 
194,Grandeur Park Residences,1 Bedok South Avenue 3,1.325821355,103.9449192,1,1,3,0,5,5,1,858000,452,1,1,Condominium,0,99-year Leasehold,2.100024596,4.56,BEDOK SOUTH
195,Echelon,9 Alexandra View,1.290606945,103.8178669,1,1,2,0,5,0,0,999999,452,1,1,Condominium,2016,99-year Leasehold,4.900026124,4.53,REDHILL
196,Skies Miltonia,35 Miltonia Close,1.418350663,103.8472745,0,0,2,0,5,0,1,650000,484,1,1,Condominium,2016,99-year Leasehold,2.1,2.63,LOWER SELETAR
197,126B Edgedale Plains,126B Edgedale Plains,1.394548891,103.9111062,0,0,3,0,5,0,1,490000,1184,3,2,HDB Flat,2001,99-year Leasehold,0,0, 
198,315A Anchorvale Road,315A Anchorvale Road,1.39194188,103.8890185,0,0,3,0,5,0,1,575000,1345,4,2,HDB Flat,2001,99-year Leasehold,0,0, 
199,Peirce Villas,18 Peirce Road,1.302948434,103.8074463,0,0,1,0,1,0,0,38000000,7200,5,7,Good Class Bungalow,0,Freehold,0,0, 
200,The Topiary,13 Fernvale Lane,1.388815679,103.8723919,0,0,4,0,5,2,2,1000000,915,3,2,Executive Condominium,2016,99-year Leasehold,3.5,0,FERNVALE
201,Parvis,18 Holland Hill,1.309851999,103.7998896,1,2,4,0,5,1,2,4250000,2325,4,3,Condominium,2012,Freehold,1.756614618,4.06,LEEDON PARK
202,verdale,De souza avenue de souza ave,1.345436219,103.7690457,0,0,2,0,5,3,0,1668500,1001,3,2,Condominium,0,99-year Leasehold,1.400009835,0,ANAK BUKIT
203,Estella Gardens,27 Flora Road,1.359564041,103.9675518,0,0,0,0,0,3,0,960000,1141,2,2,Condominium,1999,Freehold,1.4,2.14,FLORA DRIVE
204,Echelon,9 Alexandra View,1.290606945,103.8178669,1,1,2,0,5,0,0,1490000,732,2,2,Condominium,2016,99-year Leasehold,4.900026124,4.53,REDHILL
205,Vue 8 Residence,Pasir Ris Heights,1.382377149,103.9421749,0,0,2,0,5,1,1,2699888,2690,5,4,Condominium,2017,99-year Leasehold,2.100020612,2.93,PASIR RIS WEST
206,The Rivervale,1 Rivervale Link,1.380010839,103.8987397,1,0,4,0,5,1,1,970000,1292,3,2,Condominium,2001,99-year Leasehold,2.500006614,0,RIVERVALE
207,Kingsford Waterbay,60 Upper Serangoon View,1.37327043,103.9025806,0,0,1,0,0,0,0,980000,775,2,2,Apartment,2018,99-year Leasehold,3.000013037,3.48,KANGKAR
208,8 Kim Tian Place,8 Kim Tian Place,1.283029656,103.8272367,1,4,5,0,5,2,1,918000,1411,3,2,HDB Flat,1983,99-year Leasehold,0,0, 
209,Casa Al Mare,75 Jalan Loyang Besar,1.377856296,103.9570896,0,0,1,0,3,0,1,1128000,731,2,2,Apartment,0,Freehold,1.539999189,0,PASIR RIS PARK
210,One Meyer,1 Meyer Place,1.298240182,103.8861636,0,1,0,0,5,4,0,1547000,614,2,2,Condominium,0,Freehold,2.30959371,0,MOUNTBATTEN
211,Leedon Green,26 Leedon Heights,1.313566141,103.803218,1,1,0,0,2,0,0,3700000,1496,4,3,Condominium,0,Freehold,1.759999868,0,FARRER COURT
212,My Manhattan,29 Simei Street 3,1.341519499,103.953758,1,0,1,0,5,2,1,1220000,936,3,2,Condominium,2014,99-year Leasehold,2.30000848,3.33,SIMEI
213,Parc Komo,963 Upper Changi Road North,1.360551137,103.9700933,0,0,0,0,0,4,0,2584000,1808,5,5,Condominium,0,Freehold,1.523657284,0,FLORA DRIVE
214,View at Kismis,15 Lorong Kismis,1.338284892,103.7702135,1,1,2,0,5,4,0,2068000,1270,5,4,Condominium,0,99-year Leasehold,1.539999571,0,ANAK BUKIT
215,Stirling Residences,21 Stirling Road,1.292054817,103.8055464,1,1,4,0,5,0,1,3255000,1970,4,4,Apartment,0,99-year Leasehold,4.200004737,0,MEI CHIN
216,Changi Court,704 Upper Changi Road East,1.343759826,103.9625143,1,0,0,#NAME?,#NAME?,4,0,1200000,969,2,2,Condominium,1997,Freehold,1.6,2.38,XILIN
217,Three 11,311 Upper Thomson Road,1.356654471,103.8287367,0,0,1,0,5,4,1,1550000,732,2,2,Apartment,2016,Freehold,1.539755669,0,UPPER THOMSON
218,Commonwealth Towers,230 Commonwealth Avenue,1.295734335,103.8060302,1,1,2,0,5,0,0,1380000,689,2,2,Condominium,2017,99-year Leasehold,4.9,5.16,MARGARET DRIVE
219,Edelweiss Park Condominium,82 Flora Road,1.356986145,103.9675732,0,0,0,0,0,2,0,1900000,2465,3,3,Condominium,2006,Freehold,1.4,2.11,FLORA DRIVE
220,Leedon Green,26 Leedon Heights,1.313566141,103.803218,1,1,0,0,2,0,0,2680000,1044,3,3,Condominium,0,Freehold,1.759999868,0,FARRER COURT
221,Edelweiss Park Condominium,86 Flora Road,1.356815774,103.9683716,0,0,0,0,0,2,0,950000,1055,3,2,Condominium,2006,Freehold,1.4,2.11,FLORA DRIVE
222,JadeScape,12 Shunfu Road,1.352274454,103.8386549,1,1,1,0,5,4,0,2767410,1647,4,4,Condominium,0,99-year Leasehold,3.079999789,0,UPPER THOMSON
223,Ferraria Park Condominium,12 Flora Drive,1.357293652,103.9642253,0,0,0,0,0,3,0,1000000,1023,2,2,Condominium,2010,Freehold,1.4,2.3,FLORA DRIVE
224,Edelweiss Park Condominium,80 Flora Road,1.35711314,103.9671584,0,0,0,0,0,2,0,820000,947,2,2,Condominium,2006,Freehold,1.4,2.11,FLORA DRIVE
225,Edelweiss Park Condominium,90 Flora Road,1.356319771,103.9686555,0,0,0,0,0,2,0,1700000,1625,4,4,Condominium,2006,Freehold,1.4,2.11,FLORA DRIVE
226,Robin Suites,25 Robin Road,1.317691725,103.8287695,1,0,1,0,5,1,0,1220000,463,2,1,Apartment,2016,Freehold,2.1,5.3,NASSIM
227,86 Dawson Road,86 Dawson Road,1.295649031,103.8102305,1,0,2,0,5,0,0,898800,893,3,2,HDB Flat,2015,99-year Leasehold,0,0, 
228,70C Telok Blangah Heights,70C Telok Blangah Heights,1.275996185,103.810863,1,2,1,0,5,0,0,838000,1002,3,2,HDB Flat,2016,99-year Leasehold,0,0, 
229,Parc Imperial,253C Pasir Panjang Road,1.281594625,103.7831773,1,0,0,0,1,0,0,720000,387,1,1,Condominium,2010,Freehold,1.4,5.02,PASIR PANJANG 1
230,312C Clementi Avenue 4,312C Clementi Avenue 4,1.319522679,103.7640251,1,0,0,0,5,0,1,880000,1001,3,2,HDB Flat,2016,99-year Leasehold,0,0, 
231,Concourse Skyline,296 Beach Road,1.300703934,103.8618611,4,2,2,0,3,3,4,4629385,2207,5,5,Condominium,2014,99-year Leasehold,0,4.4,NICOLL
232,Skies Miltonia,35 Miltonia Close,1.418350663,103.8472745,0,0,2,0,5,0,1,1150000,1130,3,2,Condominium,2016,99-year Leasehold,2.1,2.63,LOWER SELETAR
233,Concourse Skyline,300 Beach Road,1.301010924,103.8624841,2,2,2,0,4,3,3,29888000,11129,7,5,Condominium,2014,99-year Leasehold,0,4.4,NICOLL
234,Waterwoods,17 Punggol Field Walk,1.390662845,103.9124512,0,0,1,0,5,0,1,1128888,1033,3,2,Executive Condominium,2015,99-year Leasehold,3,0,PUNGGOL FIELD
235,111 Rivervale Walk,111 Rivervale Walk,1.384397167,103.9008116,0,0,2,0,5,0,1,505000,1302,3,2,HDB Flat,1998,99-year Leasehold,0,0, 
236,Astrid Meadows,42 Coronation Road West,1.318139328,103.794876,0,0,0,0,0,0,0,2730000,1378,2,,Condominium,1990,Freehold,1.4,3.22,LEEDON PARK
237,223 Simei Street 4,223 Simei Street 4,1.342088992,103.9576471,2,0,1,0,5,5,1,530000,1119,3,2,HDB Flat,1987,99-year Leasehold,0,0, 
238,The Waterside,The Waterside,1.297020678,103.8835515,0,1,0,0,4,2,0,3800000,2142,3,4,Condominium,1993,Freehold,2.1,2.59,TANJONG RHU
239,RIVERBANK @ FERNVALE,15 Fernvale Close,1.395000849,103.8815648,0,0,2,0,5,0,0,1260000,1055,3,3,Condominium,2017,99-year Leasehold,3,2.97,FERNVALE
240,Riversails,24 Upper Serangoon Crescent,1.378465006,103.9025225,0,0,1,0,5,0,0,670000,645,1,1,Condominium,2016,99-year Leasehold,3.5,2.54,HOUGANG EAST
241,The Oliv,11C Balmoral Road,1.314836293,103.8315785,0,0,0,0,4,0,0,10000000,3337,4,5,Apartment,2013,Freehold,1.6,0,NASSIM
242,One Pearl Bank,1 Pearl Bank,1.282961487,103.8398146,2,0,1,0,3,2,0,1087000,431,1,1,Condominium,0,99-year Leasehold,8.192696982,2.16,PEARL'S HILL
243,Mon Jervois,39 Jervois Road,1.293516216,103.8222354,0,0,2,0,3,0,0,1350000,624,1,1,Condominium,2016,99-year Leasehold,1.400089306,3.8,CHATSWORTH
244,Sea Esta,18 Pasir Ris Link,1.377427793,103.9598772,0,0,1,0,5,0,1,1150000,1119,3,2,Condominium,2016,99-year Leasehold,2.10001042,2.59,PASIR RIS PARK
245,Commonwealth Towers,232 Commonwealth Avenue,1.295463429,103.8065158,1,1,2,0,5,0,0,1950000,1055,3,3,Condominium,2017,99-year Leasehold,4.9,5.16,MARGARET DRIVE
246,Commonwealth Towers,230 Commonwealth Avenue,1.295734335,103.8060302,1,1,2,0,5,0,0,1499998,797,2,2,Condominium,2017,99-year Leasehold,4.9,5.16,MARGARET DRIVE
247,Citylights,80 Jellicoe Road,1.308275812,103.8631174,2,3,5,0,5,5,2,3870000,3218,5,6,Cluster House,2007,99-year Leasehold,4.200010963,4.36,LAVENDER
248,70B Telok Blangah Heights,70B Telok Blangah Heights,1.276749457,103.8105415,1,2,1,0,5,1,0,790000,1001,3,2,HDB Flat,2016,99-year Leasehold,0,0, 
249,The Teneriffe,110 Laurel Wood Avenue,1.326765416,103.7902147,0,0,0,0,3,2,0,2950000,3100,5,5,Cluster House,2004,99-year Leasehold,0,0, 
250,93 Dawson Road,93 Dawson Road,1.29499227,103.8117965,1,0,2,0,5,0,0,838000,893,3,2,HDB Flat,2015,99-year Leasehold,0,0, 
251,The Light @ Cairnhill,19 Cairnhill Circle,1.306448329,103.8384131,3,1,4,0,2,1,4,3680000,1690,3,4,Condominium,2004,Freehold,2.8,3.84,CAIRNHILL
252,The Madeira,50 Bukit Batok Street 31,1.357813478,103.7495143,1,1,4,0,5,0,0,1050000,1270,3,3,Condominium,2003,99-year Leasehold,3,2.24,HONG KAH NORTH
253,FloraView,5 Ang Mo Kio Street 66,1.391514648,103.8507334,0,0,0,0,3,2,0,950000,699,2,2,Apartment,2018,Freehold,1.498272908,0,YIO CHU KANG EAST
254,The Poiz Residences,2 Meyappa Chettiar Road,1.332027297,103.8686595,2,0,2,0,5,1,1,798000,420,1,1,Apartment,2018,99-year Leasehold,3.500006192,4.53,POTONG PASIR
255,The Parc Condominium,1 West Coast Walk,1.309606016,103.7609543,0,2,3,0,5,4,1,2300000,1421,4,3,Condominium,2011,Freehold,2.240167498,3.04,CLEMENTI CENTRAL
256,Duchess Residences,102 Duchess Avenue,1.324524112,103.8015204,1,0,0,0,0,2,0,3280000,1604,3,3,Condominium,2011,999-year Leasehold,1.4,3.32,CORONATION ROAD
257,60 Strathmore Avenue,60 Strathmore Avenue,1.293085872,103.8118849,2,0,2,0,5,0,0,800000,1032,3,2,HDB Flat,1998,99-year Leasehold,0,0, 
258,The Clement Canopy,18 Clementi Avenue 1,1.306676248,103.7685369,0,0,4,0,5,2,1,2100000,1345,4,4,Condominium,2019,99-year Leasehold,3.50005369,4.36,CLEMENTI WOODS
259,The Nautical,97 Jalan Sendudok,1.442817008,103.8247377,0,0,1,0,4,1,1,1648000,1819,4,4,Condominium,2016,99-year Leasehold,1.400010844,2.75,SEMBAWANG SPRINGS
260,Tropika East,3 Foo Kim Lin Road,1.328865892,103.907194,0,0,1,0,5,0,0,1200000,840,2,2,Condominium,2016,Freehold,1.539640827,3.54,KAKI BUKIT
261,Costa Rhu,5 Rhu Cross,1.296479019,103.8664189,0,0,0,0,0,0,0,1299000,1012,2,2,Condominium,1998,99-year Leasehold,2.8,2.91,TANJONG RHU
262,Parc Vista,456 Corporation Road,1.343956138,103.7173104,1,2,1,0,5,2,1,890000,1044,1,2,Condominium,2000,99-year Leasehold,2.8,2.28,HONG KAH
263,Bayshore Park,60 Bayshore Road,1.311343489,103.935244,0,1,1,0,5,0,0,745000,624,1,1,Condominium,1986,99-year Leasehold,2.8,2.51,BAYSHORE
264,Signature Park,50 Toh Tuck Road,1.342388697,103.7683759,0,0,2,0,5,2,0,1950000,1421,3,3,Condominium,1998,Freehold,1.7,2.11,ANAK BUKIT
265,The Jovell,19 Flora Drive,1.357880813,103.9665448,0,0,0,0,0,3,0,1075500,904,3,2,Condominium,0,99-year Leasehold,1.538842293,0,FLORA DRIVE
266,Sant Ritz,1 Pheng Geck Avenue,1.329644103,103.8692331,1,0,1,0,5,1,1,1480000,958,3,2,Condominium,2016,99-year Leasehold,3.500051541,3.89,SENNETT
267,Reflections at Keppel Bay,19 Keppel Bay View,1.266032303,103.8101948,1,0,0,0,0,1,0,2650000,1647,3,3,Condominium,2013,99-year Leasehold,0,4.09,MARITIME SQUARE
268,THE VENUE RESIDENCES,14 Tai Thong Crescent,1.328525106,103.8693233,1,0,1,0,5,2,1,1300000,850,2,2,Apartment,2017,99-year Leasehold,3.500115849,3.76,SENNETT
269,Siglap Rare & Multi-Generation Detached! Wide frontage!,Siglap Valley,1.319492708,103.9434426,0,0,2,0,5,4,0,15000000,9000,6,5,Detached House,0,Freehold,0,0, 
270,116C Rivervale Drive,116C Rivervale Drive,1.3821551,103.9028522,0,0,3,0,5,0,1,510000,1227,3,2,HDB Flat,1998,99-year Leasehold,0,0, 
271,405 Hougang Avenue 10,405 Hougang Avenue 10,1.374049696,103.8964593,1,0,2,0,5,0,2,450000,979,3,2,HDB Flat,1984,99-year Leasehold,0,0, 
272,143 Rivervale Drive,143 Rivervale Drive,1.390065934,103.9057234,0,1,1,0,5,1,2,780000,1507,4,2,HDB Flat,1998,99-year Leasehold,0,0, 
273,30 New Upper Changi Road,30 New Upper Changi Road,1.323526782,103.9364239,0,4,5,0,5,1,2,338000,700,2,1,HDB Flat,1976,99-year Leasehold,0,0, 
274,632 Choa Chu Kang North 6,632 Choa Chu Kang North 6,1.396691112,103.7485797,1,0,3,0,5,0,3,660000,1367,4,2,HDB Flat,1996,99-year Leasehold,0,0, 
275,273A Bishan Street 24,273A Bishan Street 24,1.356366211,103.843934,0,0,2,0,5,1,0,1380000,1291,3,2,HDB Flat,2011,99-year Leasehold,0,0, 
276,Twin Vew,91 West Coast Vale,1.320049382,103.7521613,0,0,0,0,1,0,0,1100000,732,2,2,Condominium,0,99-year Leasehold,2.800046403,0,WEST COAST
277,Parc Rosewood,83 Rosewood Drive,1.427929392,103.7854383,0,0,1,0,4,0,0,1090000,1270,2,2,Condominium,2014,99-year Leasehold,1.400026296,3.48,WOODGROVE
278,70C Telok Blangah Heights,70C Telok Blangah Heights,1.275996185,103.810863,1,2,1,0,5,0,0,950000,1001,3,2,HDB Flat,2016,99-year Leasehold,0,0, 
279,Aquarius By The Park,5 Bedok Reservoir View,1.338392138,103.9350655,2,0,0,0,1,1,0,1600000,1324,3,3,Condominium,2000,99-year Leasehold,2.100009681,2.45,BEDOK RESERVOIR
280,Duchess Residences,106 Duchess Avenue,1.324363388,103.8009303,0,0,0,0,0,2,0,3300000,1485,3,3,Condominium,2011,999-year Leasehold,1.4,3.32,CORONATION ROAD
281,Lake Life,12 Tao Ching Road,1.331791512,103.7242031,0,1,3,0,5,0,1,838000,742,2,2,Executive Condominium,2017,99-year Leasehold,3,0,TAMAN JURONG
282,De Lente,Holland Road,1.309929957,103.8055784,0,1,1,0,2,0,0,1300000,742,2,2,Apartment,0,Freehold,1.4,0,FARRER COURT
283,The Clement Canopy,18 Clementi Avenue 1,1.306676248,103.7685369,0,0,4,0,5,2,1,2100000,1345,4,3,Condominium,2019,99-year Leasehold,3.50005369,4.36,CLEMENTI WOODS
284,467A Fernvale Link,467A Fernvale Link,1.39798359,103.878459,0,0,2,0,5,0,0,450000,1001,3,2,HDB Flat,2015,99-year Leasehold,0,0, 
285,???Ground Floor Freehold Bukit Timah,Eng Kong Crescent,1.335503377,103.7692891,0,0,0,0,4,5,0,1280000,840,3,2,Condominium,1999,Freehold,0,0, 
286,217C Sumang Walk,217C Sumang Walk,1.40235851,103.8954941,0,0,2,0,5,0,0,520000,990,3,2,HDB Flat,2016,99-year Leasehold,0,0, 
287,1953,1 Tessensohn Road,1.316477524,103.8577508,3,1,4,0,5,2,3,2190000,1130,2,2,Apartment,0,Freehold,3.239726356,0,LAVENDER
288,Sea Horizon,Pasir Ris Drive 3,1.375139282,103.9534842,1,1,3,0,5,2,1,770000,775,2,2,Executive Condominium,2017,99-year Leasehold,2.1,0,PASIR RIS PARK
289,Sant Ritz,1 Pheng Geck Avenue,1.329644103,103.8692331,1,0,1,0,5,1,1,1350000,1259,2,1,Condominium,2016,99-year Leasehold,3.500051541,3.89,SENNETT
290,The Creek @ Bukit,19 Toh Tuck Road,1.339021377,103.7695234,0,0,1,0,5,5,0,2539950,1722,4,3,Condominium,2017,Freehold,1.539953546,3.52,ANAK BUKIT
291,Seahill,119 West Coast Crescent,1.298656689,103.7641136,0,1,1,0,2,2,0,995000,667,1,1,Condominium,2019,99-year Leasehold,2.800034748,3.83,CLEMENTI WEST
292,Principal Garden,93 Prince Charles Crescent,1.292547476,103.8210826,0,0,0,0,1,0,0,1500000,807,2,2,Condominium,2019,99-year Leasehold,2.100038855,5.05,ALEXANDRA NORTH
293,Grosvenor View,1 Lengkong Empat,1.327302817,103.9113593,1,0,1,0,5,3,0,1180000,1054,1,1,Condominium,2005,Freehold,2.1,0,KEMBANGAN
294,La Mariposa,35 Mangis Road,1.312707634,103.9046712,0,1,3,0,5,2,0,1920000,1130,3,3,Apartment,0,Freehold,1.539998374,0,GEYLANG EAST
295,The Topiary,13 Fernvale Lane,1.388815679,103.8723919,0,0,4,0,5,2,2,965888,915,3,2,Executive Condominium,2016,99-year Leasehold,3.5,0,FERNVALE
296,184 Stirling Road,184 Stirling Road,1.295609547,103.8044729,1,1,3,0,5,0,0,765000,1230,3,2,HDB Flat,1999,99-year Leasehold,0,0, 
297,14 1 2 LiveTour,Holland Heights,1.30792538,103.8032518,0,1,0,0,2,0,0,9999999,4000,4,5,Good Class Bungalow,1980,Freehold,0,0, 
298,5 4 LiveTour,Coral Park,1.353736881,103.8423807,0,0,1,0,3,3,0,4700000,2200,3,2,Semi-Detached House,1981,Freehold,0,0, 
299,Kingsford Waterbay,70 Upper Serangoon View,1.374093242,103.9032599,0,0,1,0,1,0,0,1680000,1098,3,2,Condominium,2018,99-year Leasehold,3.000013037,3.48,KANGKAR
300,Frankel Estate - Siglap road,Siglap Road,1.320253536,103.9205129,1,0,4,0,5,5,0,5500000,4937,6,8,Semi-Detached House,0,Freehold,0,0, 
301,Skies Miltonia,3 Miltonia Close,1.418061323,103.8478483,0,0,2,0,5,0,1,3360000,3574,4,5,Condominium,2016,99-year Leasehold,2.1,2.63,LOWER SELETAR
302,"Pasir Panjang Road - Freehold Corner House, Land Status",Pasir Panjang Road,1.284837234,103.7809248,1,0,0,0,2,0,0,4800000,3907,5,6,Semi-Detached House,0,Freehold,0,0, 
303,Binjai Park,Binjai Park,1.340420102,103.7874746,0,0,1,0,2,1,0,35200000,15000,6,9,Good Class Bungalow,0,Freehold,0,0,SWISS CLUB
304,Mimosa Villas,Mimosa Walk,1.383083336,103.8614509,0,0,0,0,2,5,0,5856000,4000,5,4,Semi-Detached House,1987,999-year Leasehold,0,0, 
305,The Canopy,85 Yishun Avenue 11,1.423855115,103.8484205,0,1,3,0,5,1,0,890000,1023,3,2,Executive Condominium,2014,99-year Leasehold,2.8,0,YISHUN EAST
306,Rangoon Apts,208C Rangoon Rd,1.317656813,103.8529193,1,3,3,0,5,0,2,1950000,1453,3,2,Apartment,1997,Freehold,3,0,KAMPONG JAVA
307,21 Teban Gardens Road,21 Teban Gardens Road,1.323680649,103.7391562,0,1,2,0,5,0,0,487000,936,3,2,HDB Flat,2012,99-year Leasehold,0,0, 
308,315B Punggol Way,315B Punggol Way,1.407956027,103.8964008,0,0,2,0,5,0,1,500000,1001,3,2,HDB Flat,2016,99-year Leasehold,0,0, 
309,D10 FH Semi-D @ Lim Tai See 2382 / 2800 ft2,Lim Tai See Walk,1.322673374,103.7922707,0,0,0,0,0,2,0,5888888,2800,6,4,Semi-Detached House,0,Freehold,0,0, 
310,Brand New Bungalow for sale,Jalan kakatua,1.345375514,103.765305,0,0,0,0,5,2,0,23800000,15500,7,8,Bungalow House,0,Freehold,0,0, 
